date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2025-02-16,github.com,15,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-17,github.com,13,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-18,github.com,13,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,github.com,14,3,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,github.com,8,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-21,github.com,8,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-22,github.com,8,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23,github.com,8,2,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-24,github.com,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-25,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-26,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-28,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-01,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-02,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-03,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-04,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-05,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-06,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-07,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-08,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-09,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-10,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-12,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-14,github.com,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-15,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-16,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-17,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-18,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-20,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-21,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-22,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-23,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-24,github.com,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-25,github.com,2,2,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26,github.com,2,2,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2025-03-27,github.com,2,2,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2025-03-28,Google,1,1,github.com,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2025-03-29,Google,1,1,github.com,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,
2025-03-30,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-01,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-03,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-04,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-05,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,Google,1,1,Bing,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-07,Google,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-13,github.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-13,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-14,github.com,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15,github.com,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-16,github.com,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-17,github.com,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-18,github.com,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-19,github.com,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-20,github.com,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-21,github.com,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-22,github.com,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23,github.com,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24,github.com,12,5,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25,github.com,12,5,Google,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-26,github.com,10,4,Google,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-27,github.com,10,4,Google,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-28,github.com,9,3,Google,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-29,github.com,11,5,Google,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-04-30,github.com,11,5,Google,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
2025-05-01,github.com,14,8,Google,1,1,chatgpt.com,1,1,,,,,,,,,,,,,,,,,,,,,
